ct,dose
136.0,22.776
429.0,20.538
683.0,17.987
440.0,15.646
52.0,14.096
155.0,7.989
157.0,7.869
162.0,8.023
241.0,8.318
377.0,9.384
679.0,12.125
583.0,14.514
89.0,14.471
1007.0,13.472
1028.0,13.335
1024.0,14.341
980.0,15.879
1014.0,17.132
1013.0,17.25
505.0,10.151
307.0,9.713
453.0,11.471
472.0,15.845
232.0,20.582
537.0,21.826
657.0,19.94
608.0,16.953
165.0,14.487
383.0,13.316
174.0,8.077
3.0,8.089
33.0,8.171
38.0,8.44
88.0,9.594
532.0,12.196
457.0,14.659
125.0,14.555
1000.0,13.673
1002.0,13.191
999.0,13.627
642.0,14.588
406.0,15.493
144.0,15.371
174.0,9.349
223.0,8.57
576.0,9.918
454.0,13.954
555.0,18.731
267.0,19.921
507.0,17.961
212.0,15.604
340.0,13.438
117.0,12.534
4.0,8.266
15.0,8.269
33.0,8.322
280.0,8.58
346.0,9.886
62.0,12.563
996.0,15.071
985.0,15.21
993.0,14.245
991.0,13.399
1004.0,13.174
496.0,13.545
69.0,13.985
64.0,13.681
465.0,8.738
331.0,7.86
248.0,8.85
345.0,12.254
375.0,16.11
220.0,16.947
73.0,15.466
243.0,13.749
219.0,12.566
69.0,12.67
5.0,8.435
2.0,8.7
31.0,9.038
32.0,10.126
187.0,12.649
318.0,15.13
38.0,15.811
1.0,15.708
896.0,15.519
995.0,15.219
1026.0,15.419
647.0,15.077
174.0,7.402
457.0,8.325
9.0,11.292
6.0,14.614
1.0,15.393
15.0,14.087
254.0,13.106
244.0,12.753
257.0,13.593
190.0,8.761
238.0,9.349
436.0,17.062
502.0,18.185
110.0,18.96
1.0,18.948
8.0,18.631
10.0,8.607
13.0,11.382
2.0,14.601
6.0,15.51
317.0,14.515
386.0,13.708
538.0,12.882
95.0,15.675
26.0,16.77
25.0,18.61
5.0,21.377
5.0,24.501
2.0,26.842
6.0,27.813
6.0,8.5
6.0,16.245
5.0,18.317
1.0,19.525
3.0,21.209
8.0,24.205
386.0,26.902
131.0,28.375
26.0,27.962
15.0,28.815
21.0,19.067
22.0,23.07
31.0,26.002
39.0,26.322
28.0,24.865
12.0,23.772
8.0,8.279
7.0,8.807
12.0,9.86
5.0,12.788
549.0,16.363
67.0,18.224
40.0,18.992
151.0,19.299
78.0,21.099
395.0,23.848
602.0,25.583
619.0,26.732
272.0,28.325
277.0,28.905
582.0,14.058
528.0,17.571
446.0,22.433
133.0,26.704
146.0,27.315
340.0,25.266
125.0,23.212
47.0,20.925
386.0,17.852
392.0,8.123
189.0,8.521
40.0,9.416
5.0,11.392
974.0,14.226
645.0,16.361
38.0,17.431
26.0,17.192
31.0,17.995
22.0,19.902
15.0,21.817
78.0,23.699
234.0,26.149
435.0,27.359
490.0,19.342
325.0,18.815
150.0,18.558
255.0,18.131
499.0,17.443
349.0,15.911
25.0,13.705
40.0,12.345
180.0,12.745
501.0,16.011
532.0,20.997
326.0,25.937
65.0,26.762
343.0,24.455
290.0,21.786
255.0,19.135
233.0,16.695
252.0,15.167
295.0,8.086
590.0,8.221
407.0,8.493
35.0,9.128
1006.0,10.873
757.0,13.663
54.0,15.567
58.0,15.631
148.0,15.663
433.0,16.461
700.0,18.037
945.0,20.217
999.0,23.024
1032.0,24.33
1039.0,23.185
1014.0,18.858
911.0,18.872
608.0,18.998
166.0,19.122
264.0,18.269
133.0,16.434
591.0,14.091
313.0,12.313
208.0,12.251
82.0,14.999
13.0,19.965
8.0,24.774
33.0,25.691
200.0,23.368
516.0,20.666
749.0,18.246
638.0,16.424
429.0,15.581
263.0,8.066
177.0,8.183
287.0,8.286
34.0,8.579
1012.0,10.147
1029.0,12.923
914.0,15.175
715.0,15.163
930.0,14.601
959.0,14.704
957.0,16.099
1013.0,18.22
1019.0,20.362
1005.0,20.872
993.0,19.469
1006.0,17.788
1009.0,18.219
1027.0,18.915
1028.0,19.36
741.0,18.702
75.0,16.541
111.0,13.989
124.0,11.901
15.0,11.496
4.0,13.857
1.0,18.5
10.0,23.283
326.0,24.399
809.0,22.192
976.0,19.65
1018.0,17.335
982.0,16.124
891.0,15.791
578.0,8.292
184.0,8.367
296.0,8.325
136.0,8.6
1020.0,10.275
988.0,13.338
969.0,15.762
1027.0,15.741
1025.0,14.791
1024.0,14.709
1036.0,15.775
1018.0,17.436
1004.0,18.834
1008.0,18.673
1011.0,16.905
1016.0,16.383
1006.0,17.049
1023.0,18.13
1037.0,18.731
906.0,18.268
323.0,16.01
58.0,13.389
1.0,10.945
21.0,10.223
511.0,11.916
923.0,16.582
1018.0,21.664
1022.0,23.022
1013.0,21.135
981.0,18.348
913.0,16.085
480.0,15.459
315.0,16.126
67.0,8.392
976.0,8.425
1018.0,8.568
1023.0,9.017
849.0,10.625
1027.0,13.785
1023.0,16.493
995.0,16.936
1029.0,16.527
1028.0,16.55
1002.0,17.25
999.0,18.103
1010.0,18.886
1014.0,18.083
1037.0,15.805
1025.0,14.785
901.0,15.126
290.0,16.459
2.0,17.669
3.0,17.386
62.0,15.233
525.0,12.325
928.0,9.887
995.0,8.753
1027.0,10.166
1014.0,14.387
1019.0,19.403
948.0,20.992
521.0,19.226
350.0,16.751
67.0,15.204
937.0,15.394
985.0,17.479
1012.0,8.649
990.0,8.913
995.0,9.063
919.0,9.405
17.0,10.923
61.0,14.092
242.0,17.183
499.0,18.715
604.0,19.678
803.0,20.547
966.0,21.112
1017.0,21.424
1001.0,21.071
992.0,19.207
935.0,13.693
818.0,13.736
480.0,15.372
133.0,17.039
288.0,17.065
8.0,15.098
22.0,12.281
296.0,9.66
729.0,8.346
899.0,9.466
980.0,13.048
994.0,17.489
996.0,18.813
815.0,17.471
443.0,15.848
630.0,15.221
135.0,16.109
939.0,18.863
1006.0,8.969
1021.0,9.863
981.0,10.468
623.0,11.326
81.0,14.137
3.0,18.24
75.0,21.404
183.0,23.076
103.0,24.275
363.0,24.235
238.0,24.169
390.0,22.899
480.0,19.771
427.0,13.496
225.0,15.308
176.0,16.914
455.0,17.465
662.0,16.29
514.0,10.99
274.0,9.316
68.0,9.782
9.0,13.292
37.0,17.423
250.0,18.788
478.0,17.711
785.0,16.518
773.0,15.928
542.0,17.108
324.0,22.15
551.0,24.087
220.0,24.468
882.0,23.673
492.0,23.088
523.0,21.698
314.0,18.364
5.0,12.464
117.0,15.313
219.0,19.052
231.0,20.663
46.0,19.978
271.0,18.307
606.0,17.072
604.0,21.093
151.0,22.381
201.0,21.874
93.0,19.977
254.0,23.05
530.0,26.292
191.0,28.265
15.0,29.102
79.0,18.416
41.0,20.297
36.0,22.211
100.0,25.345
111.0,29.194
232.0,31.638
311.0,32.447
258.0,31.774
81.0,31.289
97.0,30.126
18.0,20.217
1.0,22.484
14.0,24.798
16.0,26.325
12.0,26.25
1.0,25.602
1.0,25.296
39.0,9.49
253.0,11.794
523.0,16.405
432.0,20.33
590.0,21.808
388.0,23.001
535.0,25.786
245.0,29.196
1.0,32.017
12.0,33.05
15.0,32.756
2.0,32.255
14.0,31.696
139.0,16.915
53.0,17.337
4.0,17.78
2.0,17.532
11.0,17.154
5.0,17.48
8.0,19.326
2.0,22.785
9.0,26.474
1.0,29.207
362.0,29.397
51.0,28.334
35.0,27.813
58.0,26.301
151.0,22.696
148.0,8.605
167.0,9.264
51.0,11.55
164.0,15.689
65.0,19.48
4.0,20.884
8.0,21.654
8.0,23.342
4.0,26.666
535.0,29.567
208.0,30.961
89.0,31.243
251.0,32.083
355.0,31.689
141.0,30.154
106.0,22.313
279.0,19.831
242.0,18.735
160.0,18.669
99.0,19.222
305.0,18.896
384.0,17.888
628.0,16.564
16.0,15.855
41.0,17.496
130.0,21.416
290.0,25.831
59.0,29.477
151.0,30.061
607.0,28.568
676.0,27.326
550.0,25.317
110.0,21.939
22.0,18.624
4.0,8.402
4.0,8.855
1017.0,10.257
1014.0,12.746
999.0,15.517
995.0,17.616
865.0,18.878
269.0,20.077
51.0,22.413
406.0,24.965
831.0,26.485
973.0,27.927
990.0,29.935
947.0,30.53
697.0,29.347
232.0,27.714
43.0,27.553
49.0,22.675
544.0,20.725
84.0,19.947
159.0,19.946
694.0,20.197
706.0,19.718
321.0,18.06
24.0,15.732
43.0,14.307
22.0,15.302
64.0,19.094
133.0,24.108
269.0,28.544
395.0,29.44
348.0,27.478
464.0,25.144
295.0,22.863
36.0,20.449
1013.0,18.524
897.0,8.273
22.0,8.349
156.0,8.748
682.0,9.623
957.0,11.508
921.0,14.593
1005.0,16.679
1022.0,17.539
1047.0,18.799
1036.0,20.392
1024.0,22.097
1039.0,24.297
1004.0,27.232
681.0,28.664
128.0,27.632
17.0,26.704
14.0,26.96
104.0,22.876
127.0,21.002
105.0,20.48
23.0,20.684
7.0,20.811
12.0,20.203
21.0,18.25
124.0,15.815
632.0,13.812
987.0,14.047
1029.0,17.452
1019.0,22.422
1010.0,27.368
948.0,28.352
610.0,26.166
457.0,23.67
127.0,21.427
1008.0,19.751
935.0,19.085
41.0,8.177
116.0,8.292
559.0,8.431
1028.0,8.888
1032.0,10.709
1013.0,13.866
1016.0,16.137
1039.0,16.762
1049.0,16.938
1052.0,17.877
1062.0,19.317
1057.0,21.72
1026.0,24.817
412.0,26.107
2.0,24.996
8.0,24.32
6.0,25.886
9.0,26.39
15.0,24.468
19.0,22.266
20.0,20.845
20.0,20.44
3.0,21.068
11.0,21.239
188.0,20.535
821.0,18.374
1028.0,15.635
1028.0,13.363
1001.0,13.143
983.0,16.049
1012.0,20.988
1032.0,26.111
1006.0,27.209
611.0,24.841
139.0,22.259
999.0,20.184
1015.0,19.316
1016.0,19.995
986.0,20.83
855.0,8.321
1026.0,8.47
1038.0,8.519
1018.0,9.049
1015.0,10.733
1016.0,14.141
1025.0,16.596
1038.0,17.194
1047.0,17.306
1031.0,17.897
1059.0,19.447
1064.0,21.494
1052.0,23.717
808.0,24.244
74.0,22.099
5.0,21.429
7.0,23.22
3.0,24.338
86.0,22.867
297.0,20.711
298.0,19.842
176.0,20.331
106.0,21.003
138.0,21.394
254.0,20.574
802.0,18.152
994.0,15.272
1000.0,12.743
995.0,12.191
970.0,14.465
967.0,19.38
993.0,24.649
1019.0,25.909
1040.0,23.952
891.0,21.198
577.0,19.257
183.0,19.159
1010.0,20.931
866.0,22.316
623.0,8.542
1077.0,8.727
1076.0,8.761
1014.0,9.302
1022.0,11.238
1023.0,14.574
1031.0,17.546
1036.0,18.884
1052.0,19.829
1023.0,20.974
1037.0,22.388
1062.0,23.966
1061.0,25.375
1050.0,24.21
1019.0,20.592
430.0,18.962
6.0,20.943
21.0,22.403
5.0,21.283
225.0,19.546
586.0,18.543
563.0,19.513
369.0,20.901
317.0,21.716
410.0,21.024
542.0,18.339
915.0,14.952
1001.0,11.912
1009.0,10.833
1009.0,12.64
1012.0,17.476
988.0,23.144
998.0,25.042
1006.0,23.054
1015.0,20.402
990.0,18.4
456.0,18.764
26.0,21.488
1006.0,23.498
1031.0,8.888
1038.0,9.143
1031.0,9.293
1029.0,9.687
1037.0,11.761
1024.0,15.55
1016.0,19.417
1048.0,21.801
1040.0,23.276
1023.0,24.707
1042.0,26.037
1056.0,27.512
1067.0,27.533
1033.0,24.786
424.0,19.81
35.0,17.607
27.0,19.485
10.0,21.362
13.0,20.441
153.0,18.412
565.0,17.301
578.0,18.54
349.0,21.106
306.0,23.069
457.0,22.995
550.0,20.103
947.0,15.966
1043.0,12.37
1020.0,10.58
1015.0,11.707
1017.0,16.262
997.0,22.113
1019.0,24.161
1014.0,22.594
1013.0,20.06
981.0,18.38
610.0,18.84
123.0,21.741
828.0,9.205
990.0,10.05
977.0,10.736
993.0,10.905
1037.0,12.635
1019.0,16.674
951.0,21.734
87.0,25.755
92.0,27.055
422.0,27.781
988.0,28.345
1040.0,28.902
1033.0,27.794
1025.0,23.932
1044.0,18.628
1045.0,16.515
1048.0,18.713
1042.0,20.222
1053.0,19.427
1067.0,17.48
933.0,15.982
205.0,17.631
17.0,21.11
6.0,24.229
55.0,24.802
339.0,22.387
374.0,18.363
129.0,14.087
48.0,11.743
57.0,12.285
233.0,16.159
859.0,21.537
1029.0,23.455
1024.0,22.238
1016.0,20.057
1020.0,18.459
1012.0,19.113
1004.0,21.932
1025.0,12.742
1027.0,17.037
940.0,22.506
432.0,26.927
89.0,28.744
981.0,27.989
1006.0,27.772
1000.0,27.446
897.0,25.775
87.0,22.036
49.0,16.786
128.0,14.9
747.0,17.413
917.0,19.48
924.0,15.769
1029.0,17.047
1034.0,19.965
1023.0,22.281
1016.0,22.897
1024.0,21.701
1057.0,19.136
1031.0,15.962
697.0,14.497
62.0,15.298
1.0,18.792
23.0,23.524
10.0,25.027
8.0,23.729
1.0,21.207
6.0,19.38
41.0,19.743
48.0,22.647
15.0,24.72
482.0,25.797
966.0,25.146
1006.0,24.813
1025.0,23.244
1016.0,21.809
1001.0,18.351
1017.0,14.313
1030.0,18.893
1023.0,21.92
738.0,25.193
324.0,26.457
20.0,25.112
1041.0,22.041
1021.0,19.494
996.0,19.961
896.0,24.543
492.0,25.264
107.0,23.943
111.0,20.998
376.0,23.751
764.0,25.276
890.0,26.156
940.0,26.55
913.0,19.148
779.0,22.578
448.0,25.116
100.0,27.089
9.0,29.516
42.0,31.285
29.0,32.034
98.0,31.204
80.0,30.671
45.0,29.636
15.0,21.625
3.0,21.242
25.0,20.968
6.0,21.978
35.0,23.363
512.0,24.504
947.0,24.526
1018.0,24.183
1023.0,24.233
1015.0,9.155
1023.0,11.985
987.0,17.153
570.0,21.922
468.0,24.235
211.0,26.182
846.0,28.842
804.0,31.836
520.0,34.379
600.0,35.162
509.0,34.57
361.0,33.974
107.0,32.665
610.0,29.462
788.0,18.485
558.0,18.749
116.0,19.248
273.0,20.192
391.0,21.724
370.0,22.397
119.0,22.329
364.0,22.818
465.0,24.635
295.0,26.647
579.0,28.389
393.0,28.48
560.0,27.999
161.0,28.109
108.0,27.11
241.0,24.22
65.0,8.788
56.0,10.122
9.0,13.284
3.0,18.874
36.0,23.211
138.0,24.547
543.0,25.955
750.0,28.622
682.0,31.957
513.0,34.71
276.0,35.913
627.0,35.473
322.0,34.818
13.0,33.792
24.0,31.202
14.0,28.898
15.0,27.87
13.0,22.29
20.0,20.475
11.0,20.214
17.0,20.494
11.0,20.91
18.0,21.307
26.0,21.627
132.0,21.556
82.0,21.818
198.0,22.692
31.0,25.202
17.0,28.339
18.0,30.544
25.0,30.906
69.0,30.176
14.0,30.047
12.0,29.146
535.0,26.289
649.0,23.031
442.0,8.947
417.0,10.173
277.0,13.204
419.0,18.518
292.0,22.326
524.0,23.302
655.0,24.264
575.0,26.773
197.0,30.17
8.0,33.155
12.0,34.527
19.0,34.605
5.0,34.219
2.0,33.085
147.0,30.937
164.0,29.306
58.0,28.727
19.0,25.897
5.0,23.371
3.0,21.035
3.0,20.281
8.0,20.395
13.0,21.122
2.0,21.458
11.0,20.935
11.0,20.113
86.0,19.819
234.0,20.864
214.0,23.887
258.0,27.794
78.0,30.901
394.0,31.433
321.0,30.412
375.0,29.633
55.0,28.416
86.0,25.884
15.0,23.536
2.0,8.771
8.0,9.595
6.0,11.316
9.0,14.742
45.0,17.645
113.0,19.472
43.0,21.311
32.0,23.652
103.0,27.112
116.0,30.006
72.0,31.31
67.0,31.742
78.0,32.42
67.0,31.911
59.0,30.34
33.0,28.833
236.0,29.068
292.0,28.496
40.0,26.478
28.0,23.885
159.0,21.58
55.0,20.9
202.0,20.852
415.0,21.492
268.0,21.456
561.0,20.24
171.0,18.451
212.0,17.364
60.0,18.4
11.0,22.154
11.0,26.775
411.0,30.467
187.0,31.089
56.0,29.935
10.0,28.206
87.0,26.656
506.0,25.037
896.0,23.723
1026.0,23.05
1043.0,8.532
1027.0,8.81
986.0,9.406
674.0,10.68
175.0,12.757
19.0,15.862
45.0,18.578
178.0,20.759
145.0,23.84
496.0,26.311
544.0,27.564
343.0,28.344
47.0,30.313
63.0,31.049
69.0,29.607
17.0,28.846
36.0,29.495
144.0,29.439
426.0,27.399
533.0,24.503
501.0,22.169
458.0,21.396
410.0,21.324
612.0,21.661
155.0,21.182
1003.0,19.381
1020.0,17.192
1013.0,15.547
1008.0,16.783
1016.0,20.546
824.0,25.519
835.0,29.761
1034.0,30.874
1036.0,29.155
1042.0,27.106
1048.0,25.559
1042.0,24.72
1039.0,24.751
1040.0,24.846
986.0,8.393
569.0,8.679
22.0,8.859
4.0,9.53
5.0,11.527
12.0,14.73
31.0,17.774
28.0,19.831
28.0,22.023
24.0,23.967
31.0,25.322
25.0,27.183
34.0,29.841
67.0,30.662
489.0,29.419
976.0,28.728
1038.0,30.193
1043.0,30.087
1041.0,27.88
1069.0,24.846
962.0,22.534
650.0,21.796
525.0,21.955
234.0,22.151
1010.0,21.279
1026.0,19.201
616.0,16.745
784.0,14.798
1004.0,15.296
1026.0,18.832
1026.0,24.234
1013.0,29.096
1036.0,30.25
1071.0,28.312
1052.0,25.932
1062.0,24.316
1067.0,23.989
1046.0,25.501
1043.0,26.51
922.0,8.437
142.0,8.718
13.0,8.783
24.0,9.423
172.0,11.575
336.0,15.059
458.0,18.026
766.0,19.963
778.0,22.189
646.0,24.113
643.0,25.704
632.0,28.114
899.0,30.835
1043.0,31.416
1011.0,28.994
980.0,27.572
979.0,29.001
991.0,29.448
1007.0,27.359
1028.0,24.735
950.0,22.443
434.0,22.264
27.0,22.699
1016.0,23.256
1009.0,22.354
1000.0,19.956
1009.0,16.841
1013.0,14.69
53.0,14.348
101.0,17.582
587.0,23.117
1036.0,28.635
1023.0,30.147
1029.0,27.903
1165.0,25.22
1482.0,23.369
1130.0,23.303
1073.0,25.682
1072.0,27.455
1045.0,8.647
1044.0,8.959
979.0,9.187
248.0,9.699
8.0,11.972
33.0,15.915
429.0,19.51
941.0,21.646
1040.0,23.592
1026.0,25.493
1030.0,27.384
1029.0,29.541
1043.0,32.102
1044.0,31.201
1049.0,26.939
1014.0,24.809
1011.0,26.45
1004.0,27.422
992.0,25.982
1013.0,23.689
1031.0,22.233
1027.0,22.973
1019.0,24.847
1014.0,25.756
918.0,25.09
299.0,22.057
997.0,18.304
956.0,15.003
1000.0,14.037
1026.0,16.522
815.0,22.053
1029.0,28.137
1034.0,29.947
1025.0,27.856
1035.0,24.864
1071.0,22.431
1298.0,22.275
1147.0,24.993
1122.0,27.549
1080.0,8.978
1057.0,9.272
1035.0,9.548
1039.0,10.443
989.0,12.736
340.0,17.348
5.0,21.948
6.0,24.942
123.0,26.266
734.0,27.546
1030.0,29.689
1052.0,31.862
1039.0,32.524
1032.0,29.766
1025.0,24.169
1021.0,21.702
1015.0,23.528
1009.0,25.052
1008.0,24.07
1014.0,22.218
1019.0,21.809
1011.0,23.782
1005.0,26.924
1036.0,29.205
1014.0,28.793
990.0,25.185
988.0,20.305
990.0,15.917
662.0,13.965
961.0,15.649
644.0,20.888
1363.0,27.536
1717.0,29.728
1118.0,27.586
988.0,24.303
973.0,21.658
1107.0,21.423
1583.0,24.118
1582.0,27.185
1507.0,9.486
1848.0,10.294
1343.0,11.009
1053.0,11.567
1037.0,14.019
1054.0,19.265
801.0,24.604
399.0,28.344
365.0,29.406
210.0,29.749
224.0,30.975
808.0,32.225
1031.0,31.505
1051.0,27.504
1043.0,21.454
1041.0,19.565
1030.0,21.881
1017.0,23.675
1002.0,22.882
1011.0,21.185
1012.0,20.87
1032.0,23.719
1046.0,27.808
1044.0,30.486
1035.0,30.363
1056.0,26.497
1043.0,21.575
1026.0,16.652
1007.0,14.418
978.0,15.669
698.0,20.97
920.0,27.096
1140.0,29.2
1046.0,27.013
1017.0,23.763
1035.0,20.798
1045.0,20.62
1271.0,23.324
1337.0,26.448
1117.0,9.567
1071.0,10.939
1045.0,12.155
1073.0,12.514
1061.0,14.926
1056.0,20.467
1016.0,25.957
1030.0,29.861
947.0,30.8
757.0,30.501
353.0,30.369
674.0,30.151
1006.0,28.539
1044.0,24.795
1044.0,19.595
1033.0,18.386
1013.0,21.158
1001.0,23.946
999.0,23.65
990.0,22.099
1025.0,21.509
1055.0,23.5
1060.0,26.979
1016.0,29.176
965.0,29.266
1016.0,26.5
1066.0,22.705
1064.0,18.972
1027.0,17.256
949.0,18.564
493.0,22.722
1014.0,27.469
1077.0,28.919
929.0,27.274
965.0,23.838
1025.0,20.807
1017.0,20.965
109.0,23.586
283.0,14.159
572.0,19.496
983.0,24.863
1055.0,28.847
1066.0,29.816
1060.0,28.947
1068.0,28.408
1054.0,27.475
1027.0,25.585
1031.0,22.131
1070.0,17.999
1051.0,17.884
1005.0,21.702
762.0,25.016
732.0,23.119
510.0,23.833
195.0,25.339
50.0,26.549
504.0,26.113
991.0,24.732
1047.0,22.82
1042.0,20.895
1039.0,20.215
1030.0,21.943
1014.0,25.096
1017.0,28.231
1010.0,29.263
995.0,27.497
1015.0,24.091
1031.0,21.474
1029.0,21.431
995.0,23.866
1000.0,26.527
1040.0,27.252
1024.0,26.213
987.0,25.475
960.0,24.715
540.0,22.917
941.0,20.328
1008.0,17.819
1012.0,20.65
999.0,22.599
980.0,25.211
994.0,28.097
1005.0,28.63
307.0,26.968
138.0,23.692
434.0,20.668
1009.0,20.423
1045.0,24.597
1037.0,26.896
1036.0,27.426
1042.0,26.176
1031.0,5.229
1027.0,6.358
1041.0,9.888
1065.0,16.238
1036.0,21.59
1013.0,23.758
740.0,24.804
935.0,26.162
852.0,27.467
527.0,28.662
193.0,28.904
337.0,28.885
909.0,28.975
1037.0,28.737
1042.0,27.092
1031.0,20.187
1042.0,20.666
1033.0,19.846
1031.0,19.026
1021.0,19.912
1017.0,21.357
1005.0,22.77
1010.0,22.872
1010.0,22.4
1007.0,6.267
1008.0,7.81
1013.0,11.418
994.0,18.08
1013.0,23.239
949.0,26.021
529.0,27.826
208.0,29.586
1029.0,31.352
1023.0,32.738
1003.0,33.671
1015.0,33.383
1013.0,33.047
868.0,31.689
792.0,28.413
1032.0,25.878
1038.0,25.302
1043.0,18.044
1034.0,17.699
1038.0,18.14
1055.0,19.221
1036.0,21.083
1028.0,23.501
701.0,24.348
817.0,23.29
920.0,22.471
569.0,23.101
138.0,24.916
154.0,26.44
625.0,26.844
888.0,26.674
957.0,26.692
904.0,25.937
838.0,8.076
618.0,9.659
527.0,13.541
619.0,19.627
968.0,24.913
1031.0,27.613
1008.0,29.824
992.0,31.647
982.0,33.813
996.0,35.433
1014.0,36.238
1030.0,35.818
1018.0,35.449
799.0,34.146
345.0,30.914
921.0,28.411
969.0,27.835
882.0,26.926
376.0,25.016
44.0,23.069
78.0,21.096
447.0,20.809
886.0,21.519
989.0,22.081
1013.0,23.379
1020.0,24.961
1041.0,25.417
987.0,24.591
739.0,24.106
181.0,25.626
13.0,27.523
10.0,29.299
18.0,29.728
2.0,29.381
5.0,29.695
28.0,29.086
36.0,26.737
30.0,8.927
29.0,10.606
7.0,14.497
253.0,20.911
881.0,25.479
1029.0,27.671
1032.0,29.606
1028.0,31.389
1025.0,33.77
1043.0,35.901
967.0,36.983
554.0,36.551
147.0,35.764
11.0,34.271
300.0,31.67
206.0,29.547
338.0,28.773
360.0,28.105
264.0,26.256
710.0,24.287
704.0,22.86
433.0,22.844
143.0,23.118
423.0,23.448
334.0,23.931
248.0,24.485
79.0,24.484
36.0,24.168
42.0,24.605
84.0,26.379
58.0,28.904
100.0,30.969
313.0,31.485
130.0,31.232
278.0,31.373
178.0,30.883
102.0,29.088
91.0,27.124
19.0,9.161
83.0,10.891
50.0,14.704
18.0,20.462
9.0,24.683
64.0,25.778
453.0,27.388
819.0,29.888
849.0,32.911
704.0,35.096
404.0,36.507
385.0,36.397
177.0,35.281
28.0,33.558
31.0,31.341
11.0,29.903
23.0,29.567
41.0,28.804
74.0,26.834
29.0,24.665
69.0,22.984
316.0,22.815
300.0,22.95
480.0,23.524
294.0,23.555
381.0,23.496
91.0,23.058
12.0,22.717
293.0,23.444
476.0,25.652
715.0,28.855
537.0,31.683
455.0,32.178
518.0,31.526
361.0,31.249
457.0,30.7
370.0,29.901
536.0,29.479
399.0,28.456
185.0,9.197
85.0,10.225
13.0,13.055
18.0,17.154
18.0,20.139
4.0,22.096
6.0,24.508
12.0,27.39
2.0,30.918
103.0,33.547
164.0,35.044
112.0,34.714
19.0,34.491
22.0,32.952
12.0,30.854
4.0,29.828
2.0,30.29
3.0,29.891
9.0,27.64
13.0,24.846
19.0,22.684
16.0,22.134
12.0,22.196
350.0,22.888
387.0,22.982
181.0,22.688
473.0,21.648
183.0,21.002
346.0,21.722
122.0,24.556
412.0,28.495
256.0,31.877
444.0,32.879
175.0,31.825
374.0,30.837
253.0,30.094
182.0,30.386
5.0,31.703
4.0,31.859
22.0,8.866
27.0,9.392
14.0,10.608
26.0,12.396
35.0,14.851
24.0,17.908
11.0,21.318
50.0,24.956
60.0,29.169
35.0,32.397
12.0,33.044
11.0,33.435
46.0,33.723
102.0,32.981
52.0,30.995
310.0,30.214
146.0,31.486
46.0,31.078
131.0,28.673
104.0,25.488
197.0,22.861
206.0,22.089
198.0,22.12
456.0,22.804
189.0,22.548
400.0,21.383
108.0,20.052
132.0,19.106
94.0,20.15
17.0,23.877
30.0,28.429
16.0,32.471
4.0,33.689
109.0,32.582
543.0,31.07
913.0,30.077
1013.0,30.605
1022.0,32.184
1021.0,32.856
989.0,28.524
803.0,8.705
351.0,8.927
41.0,9.348
23.0,10.482
28.0,12.667
